"filename", "language", "Properties", "JavaScript", "YAML", "NGINX Conf", "dockerfile", "HTML", "SQL", "JSON with Comments", "Markdown", "JavaScript JSX", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Илья\Desktop\startup\src\Pages\Wizija\Wizja.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\Pages\Wizija\WizjaContent\WizjaContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\Илья\Desktop\startup\src\Pages\Wizija\WizjaContent\WizjaContent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 1, 16, 107
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Element\Element.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Element\Element.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\FinalElement\FinalElement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\FinalElement\FinalElement.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Balance\Balance.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 7, 63
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\ProgressLine\ProgressLine.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\Илья\Desktop\startup\src\WebApplication\Components\ProgressLine\ProgressLine.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Илья\Desktop\startup\src\WebApplication\Content\WebContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Илья\Desktop\startup\src\WebApplication\Content\WebContent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\Илья\Desktop\startup\src\WebApplication\RenderingZone\RenderingZone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 7, 14, 116
"c:\Users\Илья\Desktop\startup\src\WebApplication\RenderingZone\RenderingZone.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\BudgetStyleStep\BudgetStyleStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 8, 61
"c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\FinalProjectStep\FinalProjectStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\RoomStep\RoomStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\Steps.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 9, 108
"c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\UploadPhotoStep\UploadPhotoStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\Илья\Desktop\startup\src\WebApplication\WebApp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\Илья\Desktop\startup\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Илья\Desktop\startup\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Илья\Desktop\startup\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Илья\Desktop\startup\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"Total", "-", 18, 39, 90, 17, 9, 13, 30, 20, 8, 2314, 1979, 2, 34448, 107, 555, 39649
